Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
The Legend of Zelda: Skyward Sword,The Legend of Zelda: Skyward Sword,92.71428571428571,"[98874, 47179, 188972, 44775]"
Street Fighter II Turbo,Street Fighter II' Turbo: Hyper Fighting,75.0,"[48928, 76237, 89490, 49237, 82586]"
Carnival Games,Carnival Games,58.66666666666666,"[2089, 64415]"
World of Warcraft: The Burning Crusade,World of Warcraft: The Burning Crusade,75.0,"[1049, 45013]"
Fallout: New Vegas,Fallout: New Vegas,81.9,"[141830, 187883, 135984, 135985, 135987, 135988, 125494]"
God of War II,God of War II,92.75,"[168112, 26306, 29108]"
Forza Motorsport 2,Forza Motorsport 2,90.0,"[167785, 67893, 1102]"
World Soccer Winning Eleven 9,World Soccer Winning Eleven 9,,[]
Namco Museum Vol.3,,,
Tekken Tag Tournament,Tekken Tag Tournament,80.7173265874163,"[91850, 112557, 112558, 112559, 112560, 112561, 188116]"
Far Cry 4,Far Cry 4,86.42105263157895,"[92931, 187752, 122891, 36237, 67838, 108703]"
Star Fox 64,Star Fox 64,87.0,"[40545, 36225, 81578, 58253, 99694, 48846, 82840, 4314]"
Golf,Vs. Golf,,[]
Fallout 3,Fallout 3,89.1,"[187807, 108749, 81176, 167995, 67901, 28127]"
Professor Layton and the Diabolical Box,Professor Layton and the Diabolical Box,85.0,"[48913, 5895]"
Left 4 Dead 2,Left 4 Dead 2,88.6,"[168137, 188843, 47694, 47695, 47696, 47698, 13145]"
Namco Museum: 50th Anniversary,Namco Museum 50th Anniversary,65.0,[6700]
EA Sports Active,EA Sports Active,80.0,"[168097, 2486]"
Assassin's Creed: Unity,Assassin's Creed Unity,70.93333333333334,"[107074, 187785, 69676, 105492, 105493, 105494, 111355]"
Donkey Kong Land,Donkey Kong Land,70.05811221434521,"[28100, 28101, 49156, 30757, 68358, 68363]"
Tony Hawk's Underground,Tony Hawk's Underground,80.0,"[652, 5132]"
Assassin's Creed IV: Black Flag,Assassin's Creed IV Black Flag,84.57142857142857,"[21380, 190634, 96211, 108022, 113498, 91356]"
